Report generated on January 2022.
Detailed sales data for year 2021.


ID	Order ID	Customer Name	State	Region-Rep	Product	Category	Quarter	Numeral	Order Date	Shipped Date	Quantity	Price	Total Sales
1492	2997	Big D Supermarkets	AK	West-Reyes	Camera	Cameras and Phones	Quarter 2	Second	6/21/2021	6/21/2021	6	$299.00	"$1,794.00"
1862	2998	Smitty's Marketplace	NV	West-Reyes	Printer	Printers	Quarter 3	Third	8/13/2021	8/18/2021	18	$99.99	"$1,799.82"
1282	2999	Sportmart	NC	Southeast-Mason	Tablet computer	Computers	Quarter 1	First	2/18/2021	2/23/2021	15	$325.00	"$4,907.50"
763	3000	Hand Loved Craft Supplies	NY	Northeast-Carter	Video game console	Game Consoles	Quarter 4	Fourth	11/5/2021	11/5/2021	18	$349.00	"$6,351.80"
1933	3001	Smitty's Marketplace	WY	West-Reyes	Laptop	Computers	Quarter 1	First	3/21/2021	3/27/2021	25	$329.25	"$8,132.48"
720	3002	Realty Zone	NJ	Northeast-Price	Camera	Cameras and Phones	Quarter 1	First	3/21/2021	3/26/2021	7	$299.00	"$2,063.10"
1373	3003	Big D Supermarkets	VA	Southeast-Oliver	Laptop	Computers	Quarter 4	Fourth	11/21/2021	11/24/2021	6	$329.25	"$1,975.50"
764	3004	Thorofare	NY	Northeast-Price	Tablet computer	Computers	Quarter 4	Fourth	11/4/2021	11/5/2021	14	$325.00	"$4,452.50"
1902	3005	Fuller & Ackerman Publishing	UT	West-Reyes	Laptop	Computers	Quarter 3	Third	8/21/2021	8/22/2021	7	$329.25	"$2,436.45"
997	3006	Waccamaw Pottery	AL	Southeast-Mason	Printer	Printers	Quarter 3	Third	8/2/2021	8/6/2021	24	$99.99	"$2,379.76"
1816	3007	Raleigh's	MT	West-Reyes	Tablet computer	Computers	Quarter 2	Second	5/20/2021	5/22/2021	23	$325.00	"$7,377.50"
1606	3008	Greene City National Bank	AK	West-Reyes	Video game console	Game Consoles	Quarter 2	Second	4/26/2021	5/1/2021	18	$349.00	"$6,142.40"
475	3009	Rossi Auto Parts	CT	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 4	Fourth	10/11/2021	10/14/2021	17	$285.99	"$4,833.23"
239	3010	Quest Technology Service	MO	Midwest-Alvarez	Music player	Audio-Video	Quarter 1	First	1/9/2021	1/14/2021	17	$134.99	"$2,321.83"
1817	3011	Balanced Fortune	MT	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 1	First	2/24/2021	3/2/2021	10	$154.95	"$1,580.49"
476	3012	Realty Zone	CT	Northeast-Carter	Television	Audio-Video	Quarter 1	First	3/12/2021	3/17/2021	22	$295.19	"$6,612.26"
1088	3013	Rite Solution	FL	Southeast-Mason	Camera	Cameras and Phones	Quarter 1	First	1/14/2021	1/14/2021	24	$299.00	"$7,235.80"
1863	3014	De Pinna	NV	West-Reyes	Tablet computer	Computers	Quarter 1	First	2/7/2021	2/11/2021	10	$325.00	"$3,380.00"
959	3015	Building with Heart	WA	NorthWest-Barnes	Television	Audio-Video	Quarter 1	First	2/3/2021	2/7/2021	19	$295.19	"$5,520.05"
1347	3016	Bodega Club	TN	Southeast-Oliver	Bluetooth speaker	Audio-Video	Quarter 3	Third	9/26/2021	10/1/2021	7	$154.95	"$1,022.67"
765	3017	Sportmart	NY	Northeast-Price	Video game console	Game Consoles	Quarter 2	Second	4/10/2021	4/10/2021	11	$349.00	"$3,978.60"
129	3018	Greene City Legal Services	KS	Midwest-Alvarez	Television	Audio-Video	Quarter 2	Second	5/28/2021	6/3/2021	16	$295.19	"$4,604.96"
873	3019	Mixed Messages Media	VT	Northeast-Carter	Music player	Audio-Video	Quarter 1	First	2/9/2021	2/9/2021	6	$134.99	$836.94
1374	3020	Infinite Wealth	VA	Southeast-Oliver	Laptop	Computers	Quarter 4	Fourth	12/19/2021	12/24/2021	19	$329.25	"$6,354.53"
1732	3021	Mr. Steak	HI	West-Reyes	Laptop	Computers	Quarter 4	Fourth	12/23/2021	12/26/2021	21	$329.25	"$7,013.03"
1131	3022	Franklin Simon	GA	Southeast-Mason	Printer	Printers	Quarter 4	Fourth	10/2/2021	10/2/2021	15	$99.99	"$1,479.85"
91	3023	Hexa Web Hosting	IN	Midwest-Tucker	Printer	Printers	Quarter 3	Third	7/16/2021	7/22/2021	13	$99.99	"$1,339.87"
1205	3024	Garden Master	LA	Southeast-Mason	Camera	Cameras and Phones	Quarter 1	First	3/4/2021	3/9/2021	13	$299.00	"$3,916.90"
847	3025	Network Air	RI	Northeast-Price	Printer	Printers	Quarter 4	Fourth	10/22/2021	10/27/2021	5	$99.99	$529.95
1493	3026	The Family Sing Center	CO	West-Reyes	Tablet computer	Computers	Quarter 1	First	2/19/2021	2/24/2021	24	$325.00	"$7,735.00"
510	3027	Sportmart	DE	Northeast-Price	Camera	Cameras and Phones	Quarter 4	Fourth	10/31/2021	11/5/2021	12	$299.00	"$3,647.80"
1168	3028	National Hardgoods Distributors	KY	Southeast-Mason	Mobile phone	Cameras and Phones	Quarter 4	Fourth	12/21/2021	12/25/2021	25	$285.99	"$7,121.15"
1247	3029	Franklin Simon	MS	Southeast-Mason	Music player	Audio-Video	Quarter 4	Fourth	11/17/2021	11/23/2021	10	$134.99	"$1,309.40"
1772	3030	The Family Sing Center	ID	West-Reyes	Mobile phone	Cameras and Phones	Quarter 1	First	3/8/2021	3/8/2021	10	$285.99	"$2,859.90"
1375	3031	Quest Technology Service	VA	Southeast-Oliver	Printer	Printers	Quarter 1	First	1/11/2021	1/13/2021	20	$99.99	"$1,949.81"
477	3032	Bettendorf's	CT	Northeast-Price	Video game console	Game Consoles	Quarter 4	Fourth	10/23/2021	10/25/2021	8	$349.00	"$2,861.80"
1408	3033	Patterson-Fletcher	WV	Southeast-Mason	Laptop	Computers	Quarter 4	Fourth	11/12/2021	11/12/2021	8	$329.25	"$2,765.70"
240	3034	Rossi Auto Parts	MO	Midwest-Alvarez	Music player	Audio-Video	Quarter 2	Second	5/15/2021	5/21/2021	14	$134.99	"$1,849.36"
1903	3035	Bettendorf's	UT	West-Reyes	Laptop	Computers	Quarter 2	Second	5/24/2021	5/26/2021	20	$329.25	"$6,683.78"
721	3036	Mr. Steak	NJ	Northeast-Price	Video game console	Game Consoles	Quarter 4	Fourth	12/8/2021	12/8/2021	7	$349.00	"$2,547.70"
1689	3037	Realty Zone	CO	West-Reyes	Music player	Audio-Video	Quarter 2	Second	4/7/2021	4/11/2021	15	$134.99	"$2,051.85"
545	3038	National Auto Parts	MA	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 2	Second	5/31/2021	6/5/2021	22	$285.99	"$6,177.38"
1690	3039	Bit by Bit Fitness	CO	West-Reyes	Laptop	Computers	Quarter 1	First	2/1/2021	2/2/2021	19	$329.25	"$6,288.68"
1607	3040	Greene City National Bank	AK	West-Reyes	Music player	Audio-Video	Quarter 3	Third	8/2/2021	8/7/2021	19	$134.99	"$2,537.81"
1572	3041	De Pinna	UT	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	12/9/2021	12/14/2021	13	$154.95	"$1,952.37"
43	3042	Olson's Market	IL	Midwest-Tucker	Printer	Printers	Quarter 4	Fourth	10/26/2021	10/31/2021	16	$99.99	"$1,629.84"
722	3043	Bit by Bit Fitness	NJ	Northeast-Price	Television	Audio-Video	Quarter 1	First	1/23/2021	1/27/2021	21	$295.19	"$6,139.95"
1169	3044	The Record Shops at TSS	KY	Southeast-Mason	Printer	Printers	Quarter 3	Third	7/11/2021	7/11/2021	12	$99.99	"$1,169.88"
808	3045	Rudison Technologies	PA	Northeast-Carter	Music player	Audio-Video	Quarter 1	First	1/25/2021	1/27/2021	24	$134.99	"$3,212.76"
1446	3046	Realty Zone	WY	West-Reyes	Television	Audio-Video	Quarter 2	Second	4/20/2021	4/26/2021	22	$295.19	"$6,612.26"
429	3047	Forth & Towne	WI	Midwest-Alvarez	Television	Audio-Video	Quarter 1	First	2/1/2021	2/2/2021	7	$295.19	"$1,977.77"
1934	3048	Kessel Food Market	WY	West-Reyes	Music player	Audio-Video	Quarter 3	Third	7/23/2021	7/25/2021	14	$134.99	"$1,822.37"
319	3049	Hudson's MensWear	NE	Midwest-Alvarez	Music player	Audio-Video	Quarter 4	Fourth	12/23/2021	12/28/2021	22	$134.99	"$2,983.28"
1494	3050	Knox Lumber	NV	West-Reyes	Camera	Cameras and Phones	Quarter 4	Fourth	11/28/2021	12/1/2021	10	$299.00	"$2,900.30"
1089	3051	Sportmart	FL	Southeast-Oliver	Laptop	Computers	Quarter 2	Second	4/23/2021	4/29/2021	23	$329.25	"$7,638.60"
1447	3052	Helios Air	AK	West-Reyes	Video game console	Game Consoles	Quarter 4	Fourth	11/19/2021	11/23/2021	24	$349.00	"$8,236.40"
1283	3053	Bodega Club	NC	Southeast-Oliver	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	11/22/2021	11/28/2021	12	$154.95	"$1,859.40"
766	3054	Patterson-Fletcher	NY	Northeast-Price	Laptop	Computers	Quarter 3	Third	7/24/2021	7/27/2021	20	$329.25	"$6,585.00"
546	3055	Hudson's MensWear	MA	Northeast-Price	Camera	Cameras and Phones	Quarter 2	Second	5/4/2021	5/9/2021	12	$299.00	"$3,498.30"
1448	3056	Forth & Towne	AK	West-Reyes	Camera	Cameras and Phones	Quarter 2	Second	6/22/2021	6/28/2021	12	$299.00	"$3,498.30"
1495	3057	Waccamaw Pottery	CA	West-Reyes	Video game console	Game Consoles	Quarter 4	Fourth	10/17/2021	10/19/2021	12	$349.00	"$4,222.90"
809	3058	Mr. Steak	PA	Northeast-Carter	Laptop	Computers	Quarter 1	First	2/7/2021	2/9/2021	11	$329.25	"$3,753.45"
1646	3059	Infinite Wealth	CA	West-Reyes	Music player	Audio-Video	Quarter 3	Third	7/16/2021	7/22/2021	13	$134.99	"$1,714.37"
511	3060	Flagg Bros. Shoes	DE	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 2	Second	6/15/2021	6/16/2021	15	$285.99	"$4,175.45"
960	3061	Leaps & Bounds Travel	WA	NorthWest-Barnes	Camera	Cameras and Phones	Quarter 4	Fourth	12/31/2021	1/3/2020	15	$299.00	"$4,425.20"
1409	3062	Coconut's	WV	Southeast-Oliver	Music player	Audio-Video	Quarter 3	Third	9/23/2021	9/28/2021	7	$134.99	$917.93
961	3063	Cardinal Stores	WA	NorthWest-Barnes	Laptop	Computers	Quarter 4	Fourth	10/18/2021	10/20/2021	17	$329.25	"$5,663.10"
1206	3064	Knox Lumber	LA	Southeast-Oliver	Tablet computer	Computers	Quarter 1	First	2/12/2021	2/13/2021	9	$325.00	"$2,827.50"
279	3065	Little Tavern	ND	Midwest-Tucker	Television	Audio-Video	Quarter 2	Second	4/26/2021	4/26/2021	22	$295.19	"$6,376.10"
15	3066	National Auto Parts	IA	Midwest-Tucker	Video game console	Game Consoles	Quarter 3	Third	8/4/2021	8/7/2021	19	$349.00	"$6,665.90"
1818	3067	Perisolution	MT	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	12/14/2021	12/14/2021	14	$154.95	"$2,215.79"
597	3068	Sportmart	MD	Northeast-Carter	Printer	Printers	Quarter 2	Second	4/5/2021	4/6/2021	19	$99.99	"$1,849.82"
360	3069	Flagg Bros. Shoes	OH	Midwest-Tucker	Video game console	Game Consoles	Quarter 1	First	2/26/2021	2/27/2021	9	$349.00	"$3,141.00"
1170	3070	Rustler Steak House	KY	Southeast-Oliver	Mobile phone	Cameras and Phones	Quarter 2	Second	6/28/2021	7/1/2021	13	$285.99	"$3,632.07"
874	3071	Life's Gold	VT	Northeast-Price	Printer	Printers	Quarter 4	Fourth	10/15/2021	10/15/2021	6	$99.99	$589.94
130	3072	Patterson-Fletcher	KS	Midwest-Tucker	Music player	Audio-Video	Quarter 3	Third	7/10/2021	7/14/2021	7	$134.99	$985.43
512	3073	Raleigh's	DE	Northeast-Price	Laptop	Computers	Quarter 4	Fourth	12/18/2021	12/18/2021	22	$329.25	"$7,276.43"
1496	3074	Coconut's	HI	West-Reyes	Music player	Audio-Video	Quarter 2	Second	6/18/2021	6/20/2021	21	$134.99	"$2,888.79"
165	3075	Bodega Club	MI	Midwest-Tucker	Video game console	Game Consoles	Quarter 3	Third	8/19/2021	8/25/2021	7	$349.00	"$2,338.30"
1526	3076	Hudson's MensWear	CO	West-Reyes	Printer	Printers	Quarter 3	Third	8/8/2021	8/12/2021	22	$99.99	"$2,239.78"
396	3077	My Footprint Sports	SD	Midwest-Alvarez	Mobile phone	Cameras and Phones	Quarter 1	First	1/8/2021	1/9/2021	12	$285.99	"$3,288.89"
361	3078	Patterson-Fletcher	OH	Midwest-Alvarez	Printer	Printers	Quarter 4	Fourth	10/7/2021	10/11/2021	15	$99.99	"$1,509.85"
1691	3079	Planetbiz	CO	West-Reyes	Printer	Printers	Quarter 1	First	2/23/2021	2/28/2021	13	$99.99	"$1,309.87"
1410	3080	Greene City BBQ Kitchen	WV	Southeast-Mason	Music player	Audio-Video	Quarter 1	First	3/18/2021	3/22/2021	24	$134.99	"$3,172.27"
430	3081	Smitty's Marketplace	WI	Midwest-Alvarez	Tablet computer	Computers	Quarter 4	Fourth	12/8/2021	12/13/2021	19	$325.00	"$6,305.00"
1904	3082	Kessel Food Market	UT	West-Reyes	Music player	Audio-Video	Quarter 1	First	2/10/2021	2/10/2021	24	$134.99	"$3,172.27"
1248	3083	Greene City National Bank	MS	Southeast-Mason	Camera	Cameras and Phones	Quarter 2	Second	5/2/2021	5/2/2021	8	$299.00	"$2,302.30"
1527	3084	Infinite Wealth	CA	West-Reyes	Mobile phone	Cameras and Phones	Quarter 4	Fourth	10/29/2021	11/4/2021	18	$285.99	"$5,205.02"
1284	3085	Life's Gold	NC	Southeast-Mason	Printer	Printers	Quarter 2	Second	5/16/2021	5/22/2021	8	$99.99	$809.92
875	3086	Infinite Wealth	VT	Northeast-Price	Television	Audio-Video	Quarter 3	Third	9/6/2021	9/9/2021	19	$295.19	"$5,520.05"
767	3087	Coconut's	NY	Northeast-Price	Bluetooth speaker	Audio-Video	Quarter 1	First	1/4/2021	1/5/2021	10	$154.95	"$1,549.50"
1207	3088	Mixed Messages Media	LA	Southeast-Mason	Music player	Audio-Video	Quarter 1	First	3/19/2021	3/22/2021	25	$134.99	"$3,307.26"
848	3089	Network Air	RI	Northeast-Price	Laptop	Computers	Quarter 4	Fourth	12/30/2021	1/5/2020	20	$329.25	"$6,453.30"
547	3090	Patterson-Fletcher	MA	Northeast-Price	Printer	Printers	Quarter 2	Second	4/3/2021	4/8/2021	15	$99.99	"$1,479.85"
1935	3091	Hand Loved Craft Supplies	WY	West-Reyes	Laptop	Computers	Quarter 3	Third	7/28/2021	7/31/2021	16	$329.25	"$5,235.08"
362	3092	The Wall	OH	Midwest-Alvarez	Laptop	Computers	Quarter 2	Second	6/24/2021	6/24/2021	22	$329.25	"$7,309.35"
1285	3093	Hexa Web Hosting	NC	Southeast-Oliver	Tablet computer	Computers	Quarter 3	Third	7/1/2021	7/3/2021	24	$325.00	"$7,702.50"
768	3094	John Plain	NY	Northeast-Price	Mobile phone	Cameras and Phones	Quarter 3	Third	7/11/2021	7/11/2021	22	$285.99	"$6,377.58"
131	3095	National Auto Parts	KS	Midwest-Alvarez	Laptop	Computers	Quarter 2	Second	4/3/2021	4/7/2021	17	$329.25	"$5,663.10"
363	3096	National Auto Parts	OH	Midwest-Tucker	Television	Audio-Video	Quarter 1	First	1/31/2021	2/5/2021	5	$295.19	"$1,594.03"
241	3097	Fuller & Ackerman Publishing	MO	Midwest-Tucker	Video game console	Game Consoles	Quarter 2	Second	6/10/2021	6/14/2021	18	$349.00	"$6,316.90"
998	3098	Coconut's	AL	Southeast-Oliver	Laptop	Computers	Quarter 2	Second	4/19/2021	4/21/2021	10	$329.25	"$3,160.80"
548	3099	The Record Shops at TSS	MA	Northeast-Price	Printer	Printers	Quarter 4	Fourth	10/10/2021	10/14/2021	23	$99.99	"$2,319.77"
1043	3100	Forth & Towne	AR	Southeast-Mason	Printer	Printers	Quarter 4	Fourth	10/12/2021	10/14/2021	21	$99.99	"$2,139.79"
769	3101	Fuller & Ackerman Publishing	NY	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 4	Fourth	12/7/2021	12/9/2021	19	$285.99	"$5,405.21"
1905	3102	Thorofare	UT	West-Reyes	Television	Audio-Video	Quarter 2	Second	5/11/2021	5/16/2021	6	$295.19	"$1,800.66"
876	3103	Richland State College at Greene City	VT	Northeast-Price	Bluetooth speaker	Audio-Video	Quarter 2	Second	4/30/2021	5/6/2021	7	$154.95	"$1,038.17"
1090	3104	Hexa Web Hosting	FL	Southeast-Oliver	Video game console	Game Consoles	Quarter 3	Third	9/1/2021	9/7/2021	9	$349.00	"$3,210.80"
1906	3105	Asiatic Solutions	UT	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 2	Second	5/3/2021	5/9/2021	16	$154.95	"$2,541.18"
1773	3106	Rudison Technologies	ID	West-Reyes	Laptop	Computers	Quarter 2	Second	4/16/2021	4/16/2021	23	$329.25	"$7,441.05"
92	3107	Earthworks Yard Maintenance	IN	Midwest-Tucker	Printer	Printers	Quarter 1	First	3/4/2021	3/5/2021	8	$99.99	$829.92
478	3108	Greene City Interiors	CT	Northeast-Carter	Music player	Audio-Video	Quarter 4	Fourth	12/28/2021	12/30/2021	10	$134.99	"$1,376.90"
1528	3109	The Wall	NV	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	10/9/2021	10/13/2021	23	$154.95	"$3,532.86"
280	3110	Thorofare	ND	Midwest-Alvarez	Tablet computer	Computers	Quarter 1	First	2/22/2021	2/24/2021	21	$325.00	"$6,922.50"
1819	3111	Quality Realty Service	MT	West-Reyes	Mobile phone	Cameras and Phones	Quarter 4	Fourth	12/13/2021	12/15/2021	17	$285.99	"$4,861.83"
1820	3112	Thorofare	MT	West-Reyes	Laptop	Computers	Quarter 3	Third	8/20/2021	8/23/2021	13	$329.25	"$4,214.40"
320	3113	John Plain	NE	Midwest-Tucker	Music player	Audio-Video	Quarter 4	Fourth	12/17/2021	12/18/2021	9	$134.99	"$1,201.41"
1733	3114	Luskin's	HI	West-Reyes	Laptop	Computers	Quarter 1	First	3/26/2021	3/28/2021	17	$329.25	"$5,630.18"
281	3115	Cala Foods	ND	Midwest-Alvarez	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	11/9/2021	11/11/2021	10	$154.95	"$1,611.48"
1692	3116	The Record Shops at TSS	CO	West-Reyes	Camera	Cameras and Phones	Quarter 3	Third	9/10/2021	9/14/2021	5	$299.00	"$1,614.60"
810	3117	Helios Air	PA	Northeast-Carter	Music player	Audio-Video	Quarter 2	Second	4/2/2021	4/4/2021	23	$134.99	"$3,064.27"
918	3118	Leaps & Bounds Travel	OR	NorthWest-Barnes	Television	Audio-Video	Quarter 3	Third	7/26/2021	8/1/2021	9	$295.19	"$2,627.19"
