ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,athlete_events_sample
2112,Abdullah Al-Rashidi,M,44,183,83,Kuwait,KUW,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,NA,[Table]
2112,Abdullah Al-Rashidi,M,48,183,83,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,NA,[Table]
2112,Abdullah Al-Rashidi,M,52,183,83,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze,[Table]
2201,Mohamed Gharib Al-Zinkawi,M,22,180,113,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Shot Put,NA,[Table]
2201,Mohamed Gharib Al-Zinkawi,M,26,180,113,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,NA,[Table]
2201,Mohamed Gharib Al-Zinkawi,M,34,180,113,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,NA,[Table]
2234,Saiful Alam,M,27,NA,NA,Bangladesh,BAN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",NA,[Table]
2462,Flix Alegra,M,35,NA,NA,Chile,CHI,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres",NA,[Table]
2462,Flix Alegra,M,35,NA,NA,Chile,CHI,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Dueling Pistol, 30 metres",NA,[Table]
2462,Flix Alegra,M,35,NA,NA,Chile,CHI,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",NA,[Table]
2462,Flix Alegra,M,35,NA,NA,Chile,CHI,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",NA,[Table]
2483,Rumen Aleksandrov,M,20,176,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,[Table]
2985,Eugenio Almenteros Prez,M,20,176,77,Cuba,CUB,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,NA,[Table]
2985,Eugenio Almenteros Prez,M,24,176,77,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,NA,[Table]
3070,Malin Therse Alshammar,F,18,180,64,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,NA,[Table]
3070,Malin Therse Alshammar,F,18,180,64,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA,[Table]
3070,Malin Therse Alshammar,F,23,180,64,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,Silver,[Table]
3070,Malin Therse Alshammar,F,23,180,64,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,Silver,[Table]
3070,Malin Therse Alshammar,F,23,180,64,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,[Table]
3070,Malin Therse Alshammar,F,26,180,64,Sweden,SWE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,NA,[Table]
3070,Malin Therse Alshammar,F,26,180,64,Sweden,SWE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,[Table]
3070,Malin Therse Alshammar,F,30,180,64,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,NA,[Table]
3070,Malin Therse Alshammar,F,30,180,64,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,[Table]
3070,Malin Therse Alshammar,F,34,180,64,Sweden,SWE,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,NA,[Table]
3070,Malin Therse Alshammar,F,38,180,64,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,NA,[Table]
3169,Jos Luis lvarez Gil de Tejada,M,23,NA,NA,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Individual",NA,[Table]
3169,Jos Luis lvarez Gil de Tejada,M,23,NA,NA,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",NA,[Table]
3400,Salvador Amendola Filho,M,NA,178,NA,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,NA,[Table]
3589,An Jeong-Hwa,F,27,162,62,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Bronze,[Table]
3671,Ragnhild Andens,F,22,174,60,Norway,NOR,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Individual",NA,[Table]
3671,Ragnhild Andens,F,22,174,60,Norway,NOR,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Team",NA,[Table]
3675,Thomas Andergassen,M,24,166,62,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,NA,[Table]
3675,Thomas Andergassen,M,24,166,62,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,NA,[Table]
3675,Thomas Andergassen,M,24,166,62,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,NA,[Table]
3675,Thomas Andergassen,M,24,166,62,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,NA,[Table]
3675,Thomas Andergassen,M,24,166,62,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,NA,[Table]
3675,Thomas Andergassen,M,28,166,62,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,NA,[Table]
3675,Thomas Andergassen,M,28,166,62,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,NA,[Table]
3675,Thomas Andergassen,M,28,166,62,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,NA,[Table]
3675,Thomas Andergassen,M,28,166,62,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,NA,[Table]
3675,Thomas Andergassen,M,28,166,62,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,NA,[Table]
4112,Aldo Andreotti,M,37,171,75,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NA,[Table]
4460,Renato Anselmi,M,32,165,NA,Italy,ITA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Gold,[Table]
4460,Renato Anselmi,M,36,165,NA,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",Silver,[Table]
4460,Renato Anselmi,M,40,165,NA,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Silver,[Table]
4525,Timo Erkki Antila,M,21,175,70,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,NA,[Table]
4525,Timo Erkki Antila,M,21,175,70,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,NA,[Table]
4525,Timo Erkki Antila,M,21,175,70,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,NA,[Table]
4525,Timo Erkki Antila,M,21,175,70,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA,[Table]
4525,Timo Erkki Antila,M,29,175,70,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,NA,[Table]
4525,Timo Erkki Antila,M,29,175,70,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,NA,[Table]
4525,Timo Erkki Antila,M,29,175,70,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,22,160,52,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,22,160,52,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,22,160,52,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,22,160,52,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,26,160,52,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,26,160,52,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,26,160,52,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,NA,[Table]
4605,Maryna Mykolavna Antsybor,F,26,160,52,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA,[Table]
4748,Andrejs Apstis,M,24,NA,NA,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Men's Road Race, Individual",NA,[Table]
4748,Andrejs Apstis,M,24,NA,NA,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Men's Road Race, Team",NA,[Table]
4748,Andrejs Apstis,M,36,NA,NA,Latvia,LAT,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA,[Table]
4986,Josette Arne (Delmas-),F,23,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,NA,[Table]
4986,Josette Arne (Delmas-),F,23,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,[Table]
4986,Josette Arne (Delmas-),F,27,NA,NA,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 100 metres Freestyle,NA,[Table]
4986,Josette Arne (Delmas-),F,27,NA,NA,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 400 metres Freestyle,NA,[Table]
4986,Josette Arne (Delmas-),F,27,NA,NA,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,[Table]
5321,McWilliams Arroyo Acevedo,M,22,163,51,Puerto Rico,PUR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,NA,[Table]
5338,Mohammad Malik Arshad,M,24,171,74.5,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,NA,[Table]
5338,Mohammad Malik Arshad,M,28,171,74.5,Pakistan,PAK,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Middleweight,NA,[Table]
5547,Evelyn Ashford (-Washington),F,19,165,52,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres,NA,[Table]
5547,Evelyn Ashford (-Washington),F,19,165,52,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,NA,[Table]
5547,Evelyn Ashford (-Washington),F,27,165,52,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Gold,[Table]
5547,Evelyn Ashford (-Washington),F,27,165,52,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,[Table]
5547,Evelyn Ashford (-Washington),F,31,165,52,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,Silver,[Table]
5547,Evelyn Ashford (-Washington),F,31,165,52,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,[Table]
5547,Evelyn Ashford (-Washington),F,35,165,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,NA,[Table]
5547,Evelyn Ashford (-Washington),F,35,165,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,[Table]
5603,Sanna Maria Karolin Askelf,F,21,158,52,Sweden,SWE,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,NA,[Table]
5764,Tsancho Atanasov,M,21,167,89,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Heavyweight,NA,[Table]
5764,Tsancho Atanasov,M,25,167,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,NA,[Table]
5822,George H. Atkinson,M,NA,NA,NA,Wolseley-Siddeley-1,GBR,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed A-Class (Open),NA,[Table]
5984,Miika Juha Ilmari Aulio,M,24,174,65,Finland,FIN,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA,[Table]
6067,Izzet Avc,M,35,178,82,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA,[Table]
6067,Izzet Avc,M,39,178,82,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA,[Table]
6067,Izzet Avc,M,39,178,82,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Team,NA,[Table]
6998,Salaheddine Bakar Al-Safi,M,20,185,68,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,NA,[Table]
6998,Salaheddine Bakar Al-Safi,M,20,185,68,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA,[Table]
7641,Pablo Rodolfo Barahona,M,18,170,66,Honduras,HON,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,NA,[Table]
7641,Pablo Rodolfo Barahona,M,18,170,66,Honduras,HON,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,NA,[Table]
7641,Pablo Rodolfo Barahona,M,18,170,66,Honduras,HON,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,NA,[Table]
7641,Pablo Rodolfo Barahona,M,18,170,66,Honduras,HON,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,NA,[Table]
7657,Jzef Baran-Bilewski,M,29,191,82,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw,NA,[Table]
7752,Alberto A. Barbieri,M,NA,NA,NA,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",NA,[Table]
7778,Alexandru George Barbu,M,26,177,70,Romania,ROU,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA,[Table]
7778,Alexandru George Barbu,M,26,177,70,Romania,ROU,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,NA,[Table]
7914,Magorzata Barlak-Kamasiska,F,20,160,54,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,NA,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,London City Police-1,GBR,1908 Summer,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",NA,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Shot Put,NA,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Discus Throw,NA,[Table]
8105,"Edward ""Ned"" Barrett",M,30,185,99,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's Javelin Throw, Freestyle",NA,[Table]
8105,"Edward ""Ned"" Barrett",M,34,185,99,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",NA,[Table]
8587,Noemi Batki,F,20,167,62,Italy,ITA,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Synchronized Springboard,NA,[Table]
8587,Noemi Batki,F,24,167,62,Italy,ITA,2012 Summer,2012,Summer,London,Diving,Diving Women's Platform,NA,[Table]
8587,Noemi Batki,F,28,167,62,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,NA,[Table]
8820,"James Aloysius Bernard ""Jim"" Bausch",M,26,188,95,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold,[Table]
9237,James Charles Beckford,M,21,178,78,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,Silver,[Table]
9237,James Charles Beckford,M,25,178,78,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,NA,[Table]
9237,James Charles Beckford,M,29,178,78,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,NA,[Table]
9247,"William ""Bill"" Beckman",M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,[Table]
9412,Matthias Behr,M,21,194,87,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Individual",NA,[Table]
9412,Matthias Behr,M,21,194,87,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",Gold,[Table]
9412,Matthias Behr,M,29,194,87,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Individual",Silver,[Table]
9412,Matthias Behr,M,29,194,87,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Silver,[Table]
9412,Matthias Behr,M,33,194,87,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",NA,[Table]
9412,Matthias Behr,M,33,194,87,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Silver,[Table]
9484,Zsuzsanna Bekecs,F,21,175,62,Hungary,HUN,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA,[Table]
9484,Zsuzsanna Bekecs,F,25,175,62,Hungary,HUN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA,[Table]
9484,Zsuzsanna Bekecs,F,25,175,62,Hungary,HUN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 15 kilometres,NA,[Table]
9514,Aydar Bolatovich Bekzhanov,M,16,174,70,Kazakhstan,KAZ,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,NA,[Table]
9514,Aydar Bolatovich Bekzhanov,M,16,174,70,Kazakhstan,KAZ,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",NA,[Table]
9514,Aydar Bolatovich Bekzhanov,M,20,174,70,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,NA,[Table]
9514,Aydar Bolatovich Bekzhanov,M,20,174,70,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",NA,[Table]
9514,Aydar Bolatovich Bekzhanov,M,20,174,70,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",NA,[Table]
9534,Boris Alonso Belada,M,36,176,65,Pampero,ARG,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,NA,[Table]
9534,Boris Alonso Belada,M,48,176,65,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,NA,[Table]
9900,Kareem Ben Kouar,M,20,170,66,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,NA,[Table]
9970,Juraj Benk,M,35,170,62,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,NA,[Table]
9970,Juraj Benk,M,35,170,62,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,NA,[Table]
10037,Ladislav Bene,M,29,181,81,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,Silver,[Table]
10064,Catrine Bengtsson,F,22,161,57,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,NA,[Table]
10064,Catrine Bengtsson,F,22,161,57,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,NA,[Table]
